STATES,first,second
Andaman and Nicobar Islands,292202,172247
Andhra Pradesh,29888413,16445530
Arunachal Pradesh,764965,481564
Assam,19697342,6511177
Bihar,47228020,14168728
Chandigarh,917117,498492
Chhattisgarh,13764641,6164721
Dadra and Nagar Haveli and Daman and Diu,639888,240933
Delhi,11586343,5190550
Goa,1209915,615835
Gujarat,40742081,17628651
Haryana,15992934,5796379
Himachal Pradesh,5636538,2475473
Jammu and Kashmir,7441156,3116463
Jharkhand,13049217,3756187
Karnataka,38271800,15677221
Kerala,24341295,10331760
Ladakh,202848,132008
Lakshadweep,54576,39315
Madhya Pradesh,46362905,13518826
Maharashtra,54812576,22108614
Manipur,1217411,434132
Meghalaya,1063908,431973
Mizoram,690706,402479
Nagaland,679956,326310
Odisha,21272105,7832873
Puducherry,682803,277135
Punjab,13876483,4632092
Rajasthan,39544905,14512093
Sikkim,516318,351985
Tamil Nadu,34118728,9580398
Telangana,17185597,6443755
Tripura,2489252,1271721
Uttar Pradesh,80885097,17998110
Uttarakhand,7294328,2923712
West Bengal,38407873,15635624
