place,deforestation(in Ha),rainfall(in mm),tree cover
Andaman & Nicobar Island,16897,2967,676941
Andhra Pradesh,31181,1170,984498
Arunanchal Pradesh,200034,2782,6008894
Assam,239252,1524,2436559
Bihar,1194,1224,205806
Chandigarh,13,979,940
Chhattisgarh,42839,1292,2265978
Dadara & Nagar Havelli,0,2300,260
Daman & Diu,0,700,3
Goa,689,2900,116708
Gujarat,89,1107,6996
Haryana,391,450,40115
Himachal Pradesh,4470,1520,1148261
Jammu & Kashmir,3949,1238,873136
Jharkhand,5048,1174,315905
Karnataka,38587,1248,1864587
Kerala,57738,3107,2229509
Lakshadweep,0,1700,0
Madhya Pradesh,8423,1200,865061
Maharashtra,16648,2000,873332
Manipur,165933,400,1594707
Meghalaya,168171,500,1479159
Mizoram,200038,450,1654052
NCT of Delhi,12,611,121
Nagaland,199257,511,1197464
Odisha,98174,1489,1865774
Puducherry,121,1171,5548
Punjab,1240,649,69341
Rajasthan,237,715,4084
Sikkim,1187,2638,253502
Tamil Nadu,22178,998,990734
Telangana,40208,1500,486132
Tripura,80477,2000,527234
Uttar Pradesh,4184,1025,369255
Uttarakhand,14329,1069,1727728
West Bengal,13000,1650,327951
